Business Name,City,County,Phone,Address,Business Type,Source
BBQ & BURGERS SMOKEHOUSE,SACRAMENTO,Sacramento,,2114 SUTTERVILLE RD,Food Service,ABC License Data
BEACH HUT DELI,CITRUS HEIGHTS,Sacramento,,6406 SUNRISE BLVD,Food Service,ABC License Data
BEACH HUT DELI,ELK GROVE,Sacramento,,7119 ELK GROVE BLVD,Food Service,ABC License Data
BEACH HUT DELI,FOLSOM,Sacramento,,411 BLUE RAVINE RD,Food Service,ABC License Data
BEACH HUT DELI,GOLD RIVER,Sacramento,,2095 GOLDEN CENTRE LANE,Food Service,ABC License Data
BEACH HUT DELI,MCCLELLAN,Sacramento,,5411 LUCE AVE,Food Service,ABC License Data
BEACH HUT DELI,SACRAMENTO,Sacramento,,2406 J ST,Food Service,ABC License Data
BEIJING CAFE,RANCHO CORDOVA,Sacramento,,3187 ZINFANDEL DR,Restaurant,ABC License Data
BELLA BRU CAFE,SACRAMENTO,Sacramento,,4680 NATOMAS BLVD,Restaurant,ABC License Data
BENTO BOX SUSHI RESTAURANT,SACRAMENTO,Sacramento,,1101 16TH ST,Restaurant,ABC License Data
BENTO REVOLVING SUSHI,FAIR OAKS,Sacramento,,8909 MADISON AVE,Food Service,ABC License Data
BEST KARAOKE KITCHEN & BAR,SACRAMENTO,Sacramento,,7121 GOVERNORS CIR,Bar,ABC License Data
BETO'S TACOS MEXICAN FOOD,CITRUS HEIGHTS,Sacramento,,8032 AUBURN BLVD,Mexican Restaurant,ABC License Data
BETTER TRADE MARKET,SACRAMENTO,Sacramento,,4000 12TH AVE,Food Service,ABC License Data
BETTY WINE BAR,SACRAMENTO,Sacramento,,1103 T ST,Bar,ABC License Data
BEVERAGE HOUSE LIQUOR #36,SACRAMENTO,Sacramento,,8876 VINTAGE PARK DR #119,Food Service,ABC License Data
BIG STORE,WALNUT GROVE,Sacramento,,14197 RIVER RD,Food Service,ABC License Data
BILLS LIQUORS & DELI,SACRAMENTO,Sacramento,,2905 DEL PASO BLVD,Food Service,ABC License Data
BILLS MARKET,RIO LINDA,Sacramento,,2349 I ST,Food Service,ABC License Data
BINGS MARKET,SACRAMENTO,Sacramento,,4775 RIO LINDA BLVD,Food Service,ABC License Data
BJ'S RESTAURANT & BREWHOUSE,ELK GROVE,Sacramento,,9237 LAGUNA SPRINGS DR,Restaurant,ABC License Data
BJ'S RESTAURANT & BREWHOUSE,FOLSOM,Sacramento,,2730 E BIDWELL ST,Restaurant,ABC License Data
BJ'S RESTAURANT & BREWHOUSE,SACRAMENTO,Sacramento,,3531 N FREEWAY BLVD,Restaurant,ABC License Data
BJS RESTAURANT & BREWHOUSE,SACRAMENTO,Sacramento,,1689 ARDEN WAY,Restaurant,ABC License Data
BLANCA'S MEAT MARKET,SACRAMENTO,Sacramento,,4827 RIO LINDA BLVD,Food Service,ABC License Data
BLAZE PIZZA,GOLD RIVER,Sacramento,,2137 GOLDEN CENTRE LN,Food Service,ABC License Data
BLOCK CRAFT BEER + KITCHEN,SACRAMENTO,Sacramento,,7485 RUSH RIVER DR,Food Service,ABC License Data
BLUE AGAVE TAQUERIA & BAR,SACRAMENTO,Sacramento,,8785 CENTER PKWY,Bar,ABC License Data
BLUE HOUSE RESTAURANT,SACRAMENTO,Sacramento,,1030 HOWE AVE,Restaurant,ABC License Data
BLUE MOON CAFE,SACRAMENTO,Sacramento,,5000 FREEPORT BLVD,Restaurant,ABC License Data
BLUE NAMI SUSHI AND SAKE HOUSE,ORANGEVALE,Sacramento,,8811 GREENBACK LN,Food Service,ABC License Data
BLUE RAVINE RESTAURANT,FOLSOM,Sacramento,,25085 BLUE RAVINE RD,Restaurant,ABC License Data
BLUE SKY CHINESE RESTAURANT,CARMICHAEL,Sacramento,,7323 FAIR OAKS BLVD,Restaurant,ABC License Data
BOB'S CLUB,ELK GROVE,Sacramento,,9039 ELK GROVE BLVD,Food Service,ABC License Data
BOLLYWOOD PIZZA,SACRAMENTO,Sacramento,,6601 FOLSOM BLVD,Food Service,ABC License Data
BOLT BAR,SACRAMENTO,Sacramento,,2560 BOXWOOD ST,Bar,ABC License Data
BOMBAY BAR AND GRILL,SACRAMENTO,Sacramento,,1313-1315 21ST ST,Bar,ABC License Data
BON MUA RESTAURANT,SACRAMENTO,Sacramento,,6835 STOCKTON BLVD,Restaurant,ABC License Data
BOND MARKET,ELK GROVE,Sacramento,,9165 ELK GROVE FLORIN RD,Food Service,ABC License Data
BONFARE MARKET # 33,SACRAMENTO,Sacramento,,809 20TH ST,Food Service,ABC License Data
BONFARE MARKET # 34,SACRAMENTO,Sacramento,,3100 BROADWAY,Food Service,ABC License Data
BONFARE MARKET # 40,SACRAMENTO,Sacramento,,861 FULTON AVE,Food Service,ABC License Data
BONFARE MARKET #33,SACRAMENTO,Sacramento,,809 20TH ST,Food Service,ABC License Data
BONFARE MARKET 38,SACRAMENTO,Sacramento,,2600 RIO LINDA BLVD,Food Service,ABC License Data
BOON DOX LIQUORS,WALNUT GROVE,Sacramento,,14175 RIVER RD,Food Service,ABC License Data
BOTTLE & BARLOW,SACRAMENTO,Sacramento,,1120 R ST,Bar,ABC License Data
BOWLING DRIVE FOOD & DELI,SACRAMENTO,Sacramento,,7076 BOWLING DR,Food Service,ABC License Data
BOX BAR,SACRAMENTO,Sacramento,,9912 BUSINESS PARK DR,Bar,ABC License Data
BRADLEY RANCH WINERY AND BREWERY,ELK GROVE,Sacramento,,11070 BRADLEY RANCH RD,Food Service,ABC License Data
BRADSHAW RANCH GOLF COURSE INC,SACRAMENTO,Sacramento,,7350 BRADSHAW RD,Food Service,ABC License Data
BRAHMA BAR AND GRILL,FAIR OAKS,Sacramento,,10239 FAIR OAKS BLVD,Bar,ABC License Data
BRASSERIE DU MONDE  CAFE A COTE,SACRAMENTO,Sacramento,,1201 K ST,Restaurant,ABC License Data
BRAVE HORSE WINERY,WILTON,Sacramento,,10437 & 10459 ALTA MESA ROAD,Food Service,ABC License Data
BREWSTERS BAR & GRILL,GALT,Sacramento,,201 4TH ST,Bar,ABC License Data
BRIANNAS MEXICAN RESTAURANT,SACRAMENTO,Sacramento,,9783 LINCOLN VILLAGE DR,Mexican Restaurant,ABC License Data
BRICK HOUSE RESTAURANT,ELK GROVE,Sacramento,,9027 ELK GROVE BLVD,Restaurant,ABC License Data
BROKEN GLASS WINES LLC,RIO VISTA,Sacramento,,190 PINE HILLS DR,Food Service,ABC License Data
BROOKFIELDS RESTAURANT,RANCHO CORDOVA,Sacramento,,11135 FOLSOM BLVD,Restaurant,ABC License Data
BROOKFIELDS RESTAURANT,SACRAMENTO,Sacramento,,4343 MADISON AVE,Restaurant,ABC License Data
BROOKSIDE RESTAURANT & BAR,SACRAMENTO,Sacramento,,9819 HORN RD,Bar,ABC License Data
BROS LIQUOR #2,SACRAMENTO,Sacramento,,3510 AUBURN BLVD,Food Service,ABC License Data
BROS LIQUOR & MARKET,SACRAMENTO,Sacramento,,1838 AUBURN BLVD,Food Service,ABC License Data
BROWNIES LOUNGE,SACRAMENTO,Sacramento,,5858 S LAND PARK DR,Bar,ABC License Data
BUCK EATS LLC,FOLSOM,Sacramento,,250 PALLADIO PKWY STE 1339,Restaurant,ABC License Data
BUCKHORN BBQ & GRILL,SACRAMENTO,Sacramento,,4720 FREEPORT BLVD,Food Service,ABC License Data
BUCKHORN BBQ + GRILL,SACRAMENTO,Sacramento,,801 14TH ST,Food Service,ABC License Data
BUCKHORN GRILL,SACRAMENTO,Sacramento,,400 HOWE AVE,Food Service,ABC License Data
BUDDY'S SUPERMARKET,SACRAMENTO,Sacramento,,5984 14TH AVE,Food Service,ABC License Data
BULL TA BAR & KOREAN BBQ,SACRAMENTO,Sacramento,,8353 FOLSOM BLVD,Bar,ABC License Data
BULL WINGS GRILL & BAR,ELK GROVE,Sacramento,,9625 E STOCKTON BLVD,Bar,ABC License Data
BUMGARNER WINERY @ MIDTOWN CERTIFIED FARMER'S MARK,SACRAMENTO,Sacramento,,20TH STREET,Food Service,ABC License Data
BURGER LOUNGE,SACRAMENTO,Sacramento,,405 K ST,Bar,ABC License Data
BURGERIM,CARMICHAEL,Sacramento,,7423 FAIR OAKS BLVD,Food Service,ABC License Data
BURGERS & BREW,SACRAMENTO,Sacramento,,1409 R ST,Food Service,ABC License Data
BURNING BARREL BREWING AND SPIRITS,RANCHO CORDOVA,Sacramento,,2933 GOLD PAN CT,Bar,ABC License Data
BURNING BARREL BREWING COMPANY,RANCHO CORDOVA,Sacramento,,2933 GOLD PAN CT,Bar,ABC License Data
BUTCHER AND BARREL,SACRAMENTO,Sacramento,,723 K ST,Bar,ABC License Data
C&B FOOD & LIQUOR,SACRAMENTO,Sacramento,,1812 BROADWAY,Food Service,ABC License Data
CABALLO BLANCO RESTAURANTE,SACRAMENTO,Sacramento,,5604 FRANKLIN BLVD,Restaurant,ABC License Data
CABANA CLUB,SACRAMENTO,Sacramento,,414 K ST,Food Service,ABC License Data
CABANA WINE CORPORATION,SACRAMENTO,Sacramento,,2386 FAIR OAKS BLVD,Food Service,ABC License Data
CAFE 33,SACRAMENTO,Sacramento,,1840 FULTON AVE,Restaurant,ABC License Data
CAFE BERNARDO,SACRAMENTO,Sacramento,,1720 15TH ST,Restaurant,ABC License Data
CAFE COLONIAL,SACRAMENTO,Sacramento,,3520 STOCKTON BLVD,Restaurant,ABC License Data
CAFE CONNECTION,SACRAMENTO,Sacramento,,1007 L ST,Restaurant,ABC License Data
CAFE DANTORELS,SACRAMENTO,Sacramento,,2700 24TH ST,Restaurant,ABC License Data
CAFE MACAU,SACRAMENTO,Sacramento,,4406 DEL RIO RD,Restaurant,ABC License Data
CAJUN & SUSHI HOUSE,ANTELOPE,Sacramento,,2921 ELVERTA RD,Food Service,ABC License Data
CALIFORNIA FISH GRILL,CITRUS HEIGHTS,Sacramento,,5406 SUNRISE BLVD,Food Service,ABC License Data
CALIFORNIA FISH GRILL,SACRAMENTO,Sacramento,,2100 ARDEN WAY,Food Service,ABC License Data
CALIFORNIA PIZZA KITCHEN,SACRAMENTO,Sacramento,,1735 ARDEN WAY,Food Service,ABC License Data
CALIFORNIA STREET TACOS,SACRAMENTO,Sacramento,,2101 16TH ST,Mexican Restaurant,ABC License Data
CALIFORNIA WINE & LIQUOR,CARMICHAEL,Sacramento,,5008 EL CAMINO AVE,Food Service,ABC License Data
CALVIN'S MARKET,SACRAMENTO,Sacramento,,2331 I ST,Food Service,ABC License Data
CAMPUS COMMONS GOLF COURSE,SACRAMENTO,Sacramento,,2 CADILLAC DR,Food Service,ABC License Data
CANDLE ROCK LOUNGE,SACRAMENTO,Sacramento,,2600 WATT AVE,Bar,ABC License Data
CAPITAL FOOD & LIQUOR,SACRAMENTO,Sacramento,,10009 FOLSOM BLVD,Food Service,ABC License Data
CAPITOL LIQUOR INC,SACRAMENTO,Sacramento,,6019 STOCKTON BLVD,Food Service,ABC License Data
CAPS PIZZA AND TAP HOUSE,SACRAMENTO,Sacramento,,8760 LA RIVIERA DR,Food Service,ABC License Data
CARIÑO MEXICAN RESTAURANT,SACRAMENTO,Sacramento,,729 J ST,Mexican Restaurant,ABC License Data
CARNICERIA LA RANCHERITA MARKET,SACRAMENTO,Sacramento,,8275 FLORIN RD,Food Service,ABC License Data
CARNICERIA LOPEZ MARKET,SACRAMENTO,Sacramento,,5550 FRANKLIN BLVD,Food Service,ABC License Data
CAROLINA'S MEXICAN RESTAURANT 6,ANTELOPE,Sacramento,,4207 ELVERTA RD,Mexican Restaurant,ABC License Data
CASA FLORES MEXICAN RESTAURANT,SACRAMENTO,Sacramento,,8304 DELTA SHORES CIR S,Mexican Restaurant,ABC License Data
CASA RAMOS MEXICAN RESTAURANT,FOLSOM,Sacramento,,400 IRON POINT RD,Mexican Restaurant,ABC License Data
