Business Name,City,County,Phone,Address,Business Type,Source,Notes
LADERA WINERY,CALISTOGA,Napa,,3942 SILVERADO TRL N,Food Service,ABC License,Independent
LAURA MICHAEL WINES,CALISTOGA,Napa,,2250 LAKE COUNTY HWY,Food Service,ABC License,Independent
LAWER FAMILY WINERY INC,CALISTOGA,Napa,,8910 FRANZ VALLEY SCHOOL RD,Food Service,ABC License,Independent
LAWER FAMILY WINES @ CALISTOGA FARMERS MARKET,CALISTOGA,Napa,,1235 WASHINGTON ST,Food Service,ABC License,Independent
LOLA WINES,CALISTOGA,Napa,,916 FOOTHILL BLVD,Food Service,ABC License,Independent
MACAULEY WINE CORPORATION,CALISTOGA,Napa,,4708 SILVERADO TRAIL,Food Service,ABC License,Independent
MANDET WINES,CALISTOGA,Napa,,1251 TUBBS LN,Food Service,ABC License,Independent
MARIA CONCETTO WINERY  INC.,CALISTOGA,Napa,,1367 LINCOLN AVE,Food Service,ABC License,Independent
MARNET WINES,CALISTOGA,Napa,,1572 CENTENNIAL CIR,Food Service,ABC License,Independent
MC WINES LLC,CALISTOGA,Napa,,1170 TUBBS LN,Food Service,ABC License,Independent
MONTESQUIEU WINERY,CALISTOGA,Napa,,4550 SILVERADO TRL,Food Service,ABC License,Independent
NEOTEMPO WINES,CALISTOGA,Napa,,701 LOMMEL RD,Food Service,ABC License,Independent
NEXT DOOR WINE,CALISTOGA,Napa,,3111 LAKE COUNTY HWY,Food Service,ABC License,Independent
NIMROD WINES  LLC,CALISTOGA,Napa,,1471 1ST ST,Food Service,ABC License,Independent
NOAH RIVER WINES LLC,CALISTOGA,Napa,,2450 FOOTHILL BLVD,Food Service,ABC License,Independent
OFF ROUTE WINE COMPANY LLC,CALISTOGA,Napa,,1611 HARLEY ST,Food Service,ABC License,Independent
OTRA VEZ WINERY,CALISTOGA,Napa,,2280 GREENWOOD AVE,Food Service,ABC License,Independent
PACIFICO RESTAURANTE MEXICANO,CALISTOGA,Napa,,1237 LINCOLN AVE,Mexican Restaurant,ABC License,Independent
PALISADES WINE COMPANY,CALISTOGA,Napa,,3130 OLD LAWLEY TOLL RD,Food Service,ABC License,Independent
PAOLETTI ESTATES WINERY,CALISTOGA,Napa,,4501 SILVERADO TRL,Food Service,ABC License,Independent
PARADY FAMILY WINES,CALISTOGA,Napa,,1124 LINCOLN AVE,Food Service,ABC License,Independent
PETER MICHAEL WINERY,CALISTOGA,Napa,,12400 IDA CLAYTON RD,Food Service,ABC License,Independent
PHIFER PAVITT WINES,CALISTOGA,Napa,,4660 SILVERADO TRL,Food Service,ABC License,Independent
PICKETT ACRE WINES,CALISTOGA,Napa,,2395 PICKETT RD,Food Service,ABC License,Independent
PICKETT ROAD WINE COMPANY,CALISTOGA,Napa,,2339 PICKETT RD,Food Service,ABC License,Independent
POGGI WINES  LLC,CALISTOGA,Napa,,30 ROSEDALE RD,Food Service,ABC License,Independent
PUERTO VALLARTA MARKET,CALISTOGA,Napa,,1009 FOOTHILL BLVD,Food Service,ABC License,Independent
PWR WINES,CALISTOGA,Napa,,1311 PINE ST,Food Service,ABC License,Independent
RARECAT WINES,CALISTOGA,Napa,,965 SILVERADO TRL,Food Service,ABC License,Independent
RESORT AT INDIAN SPRINGS LLC,CALISTOGA,Napa,,1712 LINCOLN AVE,Food Service,ABC License,Independent
REVERIE WINERY,CALISTOGA,Napa,,1520 DIAMOND MOUNTAIN RD,Food Service,ABC License,Independent
