Business Name,City,County,State,Phone,Address,Type,Source,Category
GARNET CREEK WINERY,CALISTOGA,Napa,CA,,2280 GREENWOOD AVE,Food Service,ABC License Data,ABC_LICENSE
GIRARD WINERY,CALISTOGA,Napa,CA,,1077 DUNAWEAL LN,Food Service,ABC License Data,ABC_LICENSE
GLOBAL WINE,CALISTOGA,Napa,CA,,3111 LAKE COUNTY HWY,Food Service,ABC License Data,ABC_LICENSE
GLORIOUS REVOLUTION WINE,CALISTOGA,Napa,CA,,4199 HEITZ WAY,Food Service,ABC License Data,ABC_LICENSE
GRIEVE FAMILY WINES,CALISTOGA,Napa,CA,,865 SILVERADO TRL,Food Service,ABC License Data,ABC_LICENSE
GROW WINES,CALISTOGA,Napa,CA,,1599 LAKE ST,Food Service,ABC License Data,ABC_LICENSE
HELENA VIEW JOHNSTON VINEYARDS WINERY,CALISTOGA,Napa,CA,,3500 STATE HIGHWAY 128,Food Service,ABC License Data,ABC_LICENSE
HINDSIGHT WINES  HINDSIGHT VINEYARDS,CALISTOGA,Napa,CA,,2383 MORA AVE,Food Service,ABC License Data,ABC_LICENSE
HINDSIGHTS WINES,CALISTOGA,Napa,CA,,2383 MORA AVE,Food Service,ABC License Data,ABC_LICENSE
HOBEL WINES,CALISTOGA,Napa,CA,,1251 TUBBS LN,Food Service,ABC License Data,ABC_LICENSE
HONOR WINERY,CALISTOGA,Napa,CA,,4550 SILVERADO TRL,Food Service,ABC License Data,ABC_LICENSE
HOURGLASS WINE COMPANY,CALISTOGA,Napa,CA,,701 LOMMEL RD,Food Service,ABC License Data,ABC_LICENSE
HYDRO GRILL,CALISTOGA,Napa,CA,,1403 LINCOLN AVE,Food Service,ABC License Data,ABC_LICENSE
INIZI WINES,CALISTOGA,Napa,CA,,1703 MAGGIE AVE,Food Service,ABC License Data,ABC_LICENSE
JOSEPH CELLARS WINERY,CALISTOGA,Napa,CA,,4455 SAINT HELENA HWY,Food Service,ABC License Data,ABC_LICENSE
K.R. III NAPA WINES LLC,CALISTOGA,Napa,CA,,3887 SILVERADO TRL N,Food Service,ABC License Data,ABC_LICENSE
KAISER FAMILY WINERY  INC,CALISTOGA,Napa,CA,,2280 GREENWOOD AVE,Food Service,ABC License Data,ABC_LICENSE
KALM CELLARS @ CALISTOGA FARMERS MARKET,CALISTOGA,Napa,CA,,1311 WASHINGTON ST,Food Service,ABC License Data,ABC_LICENSE
KENEFICK RANCH WINERY,CALISTOGA,Napa,CA,,2200 PICKETT RD,Food Service,ABC License Data,ABC_LICENSE
