Business Name,City,County,Phone,Address,Business Type,Source,Chain Status,Chain Name,Priority
NOAH RIVER WINES LLC,CALISTOGA,Napa,,2450 FOOTHILL BLVD,Food Service,ABC License,INDEPENDENT,N/A,HIGH
OFF ROUTE WINE COMPANY LLC,CALISTOGA,Napa,,1611 HARLEY ST,Food Service,ABC License,INDEPENDENT,N/A,HIGH
OTRA VEZ WINERY,CALISTOGA,Napa,,2280 GREENWOOD AVE,Food Service,ABC License,INDEPENDENT,N/A,HIGH
PACIFICO RESTAURANTE MEXICANO,CALISTOGA,Napa,,1237 LINCOLN AVE,Mexican Restaurant,ABC License,INDEPENDENT,N/A,HIGH
PALISADES WINE COMPANY,CALISTOGA,Napa,,3130 OLD LAWLEY TOLL RD,Food Service,ABC License,INDEPENDENT,N/A,HIGH
PAOLETTI ESTATES WINERY,CALISTOGA,Napa,,4501 SILVERADO TRL,Food Service,ABC License,INDEPENDENT,N/A,HIGH
PARADY FAMILY WINES,CALISTOGA,Napa,,1124 LINCOLN AVE,Food Service,ABC License,INDEPENDENT,N/A,HIGH
PETER MICHAEL WINERY,CALISTOGA,Napa,,12400 IDA CLAYTON RD,Food Service,ABC License,INDEPENDENT,N/A,HIGH
PHIFER PAVITT WINES,CALISTOGA,Napa,,4660 SILVERADO TRL,Food Service,ABC License,INDEPENDENT,N/A,HIGH
PICKETT ACRE WINES,CALISTOGA,Napa,,2395 PICKETT RD,Food Service,ABC License,INDEPENDENT,N/A,HIGH
PICKETT ROAD WINE COMPANY,CALISTOGA,Napa,,2339 PICKETT RD,Food Service,ABC License,INDEPENDENT,N/A,HIGH
POGGI WINES  LLC,CALISTOGA,Napa,,30 ROSEDALE RD,Food Service,ABC License,INDEPENDENT,N/A,HIGH
PUERTO VALLARTA MARKET,CALISTOGA,Napa,,1009 FOOTHILL BLVD,Food Service,ABC License,INDEPENDENT,N/A,HIGH
PWR WINES,CALISTOGA,Napa,,1311 PINE ST,Food Service,ABC License,INDEPENDENT,N/A,HIGH
RARECAT WINES,CALISTOGA,Napa,,965 SILVERADO TRL,Food Service,ABC License,INDEPENDENT,N/A,HIGH
RESORT AT INDIAN SPRINGS LLC,CALISTOGA,Napa,,1712 LINCOLN AVE,Food Service,ABC License,INDEPENDENT,N/A,HIGH
REVERIE WINERY,CALISTOGA,Napa,,1520 DIAMOND MOUNTAIN RD,Food Service,ABC License,INDEPENDENT,N/A,HIGH
RIOS WINE COMPANY LLC,CALISTOGA,Napa,,3070 OLD LAWLEY TOLL RD,Food Service,ABC License,INDEPENDENT,N/A,HIGH
RIVERS-MARIE WINES,CALISTOGA,Napa,,900 FOOTHILL BLVD,Food Service,ABC License,INDEPENDENT,N/A,HIGH
RJS BOUTIQUE WINES LLC,CALISTOGA,Napa,,3190 HIGHWAY 128,Food Service,ABC License,INDEPENDENT,N/A,HIGH
ROB LAWSON WINES,CALISTOGA,Napa,,965 SILVERADO TRL,Food Service,ABC License,INDEPENDENT,N/A,HIGH
RUBIO FAMILY WINES  LLC,CALISTOGA,Napa,,4395 SCOTT WAY,Food Service,ABC License,INDEPENDENT,N/A,HIGH
SARAFORNIA CAFE INC,CALISTOGA,Napa,,1413 LINCOLN AVE,Restaurant,ABC License,INDEPENDENT,N/A,HIGH
SCARLETT WINES,CALISTOGA,Napa,,1251 TUBBS LN,Food Service,ABC License,INDEPENDENT,N/A,HIGH
SCULATTI WINE,CALISTOGA,Napa,,1124 LINCOLN AVE,Food Service,ABC License,INDEPENDENT,N/A,HIGH
SELAH WINES,CALISTOGA,Napa,,1127  MAPLE LN,Food Service,ABC License,INDEPENDENT,N/A,HIGH
SEPIA WINES  LLC,CALISTOGA,Napa,,817 LOMMEL RD,Food Service,ABC License,INDEPENDENT,N/A,HIGH
SILVER OAK WINE CELLARS,CALISTOGA,Napa,,1183 DUNAWEAL LN,Food Service,ABC License,INDEPENDENT,N/A,HIGH
SOLORIO FAMILY WINES,CALISTOGA,Napa,,2280 GREENWOOD AVE,Food Service,ABC License,INDEPENDENT,N/A,HIGH
SOMNIUM WINE COMPANY  LLC,CALISTOGA,Napa,,1307 LINCOLN AVE,Food Service,ABC License,INDEPENDENT,N/A,HIGH
STORMY WEATHER WINE LLC,CALISTOGA,Napa,,3750 SILVERADO TRL,Food Service,ABC License,INDEPENDENT,N/A,HIGH
STORYBOOK MOUNTAIN WINERY,CALISTOGA,Napa,,3835 STATE HIGHWAY 128,Food Service,ABC License,INDEPENDENT,N/A,HIGH
