Business Name,City,County,Phone,Address,Business Type,Source,Chain Status
BARTLETT FAMILY VINEYARDS,ANGWIN,Napa,,555 WHITE COTTAGE RD S,Bar,ABC License Data,INDEPENDENT
BLACK SEARS ESTATE WINES  LLC,ANGWIN,Napa,,2610 SUMMIT LAKE DRIVE,Food Service,ABC License Data,INDEPENDENT
CADE WINERY,ANGWIN,Napa,,360 HOWELL MOUNTAIN RD,Food Service,ABC License Data,INDEPENDENT
FLATLEY WINES,ANGWIN,Napa,,335 WEST LN,Food Service,ABC License Data,INDEPENDENT
HAYFORK WINE COMPANY,ANGWIN,Napa,,2255 SUMMIT LAKE DR,Food Service,ABC License Data,INDEPENDENT
HOSSFELD VINEYARDS WINE CO.,ANGWIN,Napa,,335 WEST LN,Food Service,ABC License Data,INDEPENDENT
JACKSON FAMILY WINES INC,ANGWIN,Napa,,1102 LAS POSADAS RD,Food Service,ABC License Data,INDEPENDENT
JENNAMARISE WINES,ANGWIN,Napa,,1300 SUMMIT LAKE DR,Food Service,ABC License Data,INDEPENDENT
MAXEM WINES,ANGWIN,Napa,,335 WEST LN,Food Service,ABC License Data,INDEPENDENT
MONTESQUIEU WINERY,ANGWIN,Napa,,335 WEST LN,Food Service,ABC License Data,INDEPENDENT
MOONE TSAI WINES,ANGWIN,Napa,,1425 LAS POSADAS RD,Food Service,ABC License Data,INDEPENDENT
OSHAUGHNESSY ESTATE WINERY,ANGWIN,Napa,,1150 FRIESEN DR,Food Service,ABC License Data,INDEPENDENT
OUTPOST WINES,ANGWIN,Napa,,2075 SUMMIT LAKE DR,Food Service,ABC License Data,INDEPENDENT
PARAVEL WINES,ANGWIN,Napa,,994 WHITE COTTAGE RD N,Food Service,ABC License Data,INDEPENDENT
PEACE WATER WINERY,ANGWIN,Napa,,2000 SUMMIT LAKE DR,Food Service,ABC License Data,INDEPENDENT
RED THREAD WINE COMAPANY,ANGWIN,Napa,,2000 SUMMIT LAKE DR,Food Service,ABC License Data,INDEPENDENT
ROBERT CRAIG WINERY,ANGWIN,Napa,,2475 SUMMIT LAKE DR,Food Service,ABC License Data,INDEPENDENT
SELAH WINES,ANGWIN,Napa,,2075 SUMMIT LAKE DR,Food Service,ABC License Data,INDEPENDENT
SOUNDS  SOUNDS WINE,ANGWIN,Napa,,1181 LAS POSADAS RD,Food Service,ABC License Data,INDEPENDENT
STELLAREESE WINES,ANGWIN,Napa,,480 BAY ST,Food Service,ABC License Data,INDEPENDENT
SUMMIT LAKE VINEYARDS & WINERY,ANGWIN,Napa,,2000 SUMMIT LAKE DR,Food Service,ABC License Data,INDEPENDENT
THREE FURIES WINES,ANGWIN,Napa,,716 LIPARITA AVE,Food Service,ABC License Data,INDEPENDENT
TRUJILLO WINES,ANGWIN,Napa,,1250 LAS POSADOS RD,Food Service,ABC License Data,INDEPENDENT
VIDA VALIENTE WINERY,ANGWIN,Napa,,335 WEST LN,Food Service,ABC License Data,INDEPENDENT
1510 LIQUOR LLC,CALISTOGA,Napa,,1510 DIAMOND MOUNTAIN RD,Food Service,ABC License Data,INDEPENDENT
1520 LIQUOR LLC,CALISTOGA,Napa,,1520 DIAMOND MOUNTAIN RD,Food Service,ABC License Data,INDEPENDENT
AUBERT WINES,CALISTOGA,Napa,,333 SILVERADO TRL,Food Service,ABC License Data,INDEPENDENT
AUGUST BRIGGS WINERY,CALISTOGA,Napa,,1307 LINCOLN AVE,Food Service,ABC License Data,INDEPENDENT
BARLOW VINEYARDS,CALISTOGA,Napa,,4411 SILVERADO TRL,Bar,ABC License Data,INDEPENDENT
BATISTA WINE IMPORTS LLC,CALISTOGA,Napa,,1471 1ST ST,Food Service,ABC License Data,INDEPENDENT
BENNETT LANE WINERY,CALISTOGA,Napa,,3340 STATE HIGHWAY 128,Food Service,ABC License Data,INDEPENDENT
BETA-WINES,CALISTOGA,Napa,,1999 DIAMOND MOUNTAIN RD,Food Service,ABC License Data,INDEPENDENT
BOATIQUE WINERY  LLC,CALISTOGA,Napa,,965 SILVERADO TRL,Food Service,ABC License Data,INDEPENDENT
BURE FAMILY WINES,CALISTOGA,Napa,,1171 TUBBS LN,Food Service,ABC License Data,INDEPENDENT
BUSTERS SOUTHERN BARBECUE,CALISTOGA,Napa,,1207 FOOTHILL BLVD,Bar,ABC License Data,INDEPENDENT
C BECK WINERY/TIN MAN WINES,CALISTOGA,Napa,,2424 JANIS WY,Food Service,ABC License Data,INDEPENDENT
CALISTOGA INN RESTAURANT & BREWERY,CALISTOGA,Napa,,1250 LINCOLN AVE,Restaurant,ABC License Data,INDEPENDENT
CALISTOGA LIQUOR,CALISTOGA,Napa,,1102 TUBBS LN,Food Service,ABC License Data,INDEPENDENT
CALISTOGA ORTHODOX WINES INC,CALISTOGA,Napa,,1507 WASHINGTON ST,Food Service,ABC License Data,INDEPENDENT
CALISTOGA THAI KITCHEN,CALISTOGA,Napa,,1359 LINCOLN AVE,Asian Restaurant,ABC License Data,INDEPENDENT
CALISTOGA WINE WAY INN,CALISTOGA,Napa,,1019 FOOTHILL BLVD,Food Service,ABC License Data,INDEPENDENT
