Business Name,City,County,Phone,Address,Business Type,Source,Chain Status
BACCHUS HOUSE WINE BAR & BISTRO,FOLSOM,Sacramento,,1004 E BIDWELL ST,Bar,ABC License Data,INDEPENDENT
BAMBINAS PIZZA AND PASTA,SACRAMENTO,Sacramento,,1610 R ST,Food Service,ABC License Data,INDEPENDENT
BANGKOK @ 12 THAI RESTAURANT,SACRAMENTO,Sacramento,,900 12TH ST,Asian Restaurant,ABC License Data,INDEPENDENT
BANGKOK GARDEN THAI CUISINE,SACRAMENTO,Sacramento,,2069 ARENA BLVD,Asian Restaurant,ABC License Data,INDEPENDENT
BANZAI SUSHI,SACRAMENTO,Sacramento,,6409 RIVERSIDE BLVD,Food Service,ABC License Data,INDEPENDENT
BAR WEST,SACRAMENTO,Sacramento,,2724 J ST,Bar,ABC License Data,INDEPENDENT
BARGAIN SUPERMARKET,CITRUS HEIGHTS,Sacramento,,7817 GREENBACK LN,Bar,ABC License Data,INDEPENDENT
BARNES & NOBLE CAFE,FOLSOM,Sacramento,,280 PALLADIO PKWY,Bar,ABC License Data,INDEPENDENT
BARSETTI VINEYARDS,GALT,Sacramento,,400 4TH ST,Bar,ABC License Data,INDEPENDENT
BARTLEY CAVANAUGH GOLF COMPLEX,SACRAMENTO,Sacramento,,8301 FREEPORT BLVD,Bar,ABC License Data,INDEPENDENT
BBQ & BURGERS SMOKEHOUSE,SACRAMENTO,Sacramento,,2114 SUTTERVILLE RD,Food Service,ABC License Data,INDEPENDENT
BEACH HUT DELI,CITRUS HEIGHTS,Sacramento,,6406 SUNRISE BLVD,Food Service,ABC License Data,INDEPENDENT
BEACH HUT DELI,ELK GROVE,Sacramento,,7119 ELK GROVE BLVD,Food Service,ABC License Data,INDEPENDENT
BEACH HUT DELI,FOLSOM,Sacramento,,411 BLUE RAVINE RD,Food Service,ABC License Data,INDEPENDENT
BEACH HUT DELI,GOLD RIVER,Sacramento,,2095 GOLDEN CENTRE LANE,Food Service,ABC License Data,INDEPENDENT
BEACH HUT DELI,MCCLELLAN,Sacramento,,5411 LUCE AVE,Food Service,ABC License Data,INDEPENDENT
BEACH HUT DELI,SACRAMENTO,Sacramento,,2406 J ST,Food Service,ABC License Data,INDEPENDENT
BEIJING CAFE,RANCHO CORDOVA,Sacramento,,3187 ZINFANDEL DR,Restaurant,ABC License Data,INDEPENDENT
BELLA BRU CAFE,SACRAMENTO,Sacramento,,4680 NATOMAS BLVD,Restaurant,ABC License Data,INDEPENDENT
BENTO BOX SUSHI RESTAURANT,SACRAMENTO,Sacramento,,1101 16TH ST,Restaurant,ABC License Data,INDEPENDENT
BENTO REVOLVING SUSHI,FAIR OAKS,Sacramento,,8909 MADISON AVE,Food Service,ABC License Data,INDEPENDENT
BEST KARAOKE KITCHEN & BAR,SACRAMENTO,Sacramento,,7121 GOVERNORS CIR,Bar,ABC License Data,INDEPENDENT
BETO'S TACOS MEXICAN FOOD,CITRUS HEIGHTS,Sacramento,,8032 AUBURN BLVD,Mexican Restaurant,ABC License Data,INDEPENDENT
BETTER TRADE MARKET,SACRAMENTO,Sacramento,,4000 12TH AVE,Food Service,ABC License Data,INDEPENDENT
BETTY WINE BAR,SACRAMENTO,Sacramento,,1103 T ST,Bar,ABC License Data,INDEPENDENT
BEVERAGE HOUSE LIQUOR #36,SACRAMENTO,Sacramento,,8876 VINTAGE PARK DR #119,Food Service,ABC License Data,INDEPENDENT
BIG STORE,WALNUT GROVE,Sacramento,,14197 RIVER RD,Food Service,ABC License Data,INDEPENDENT
BILLS LIQUORS & DELI,SACRAMENTO,Sacramento,,2905 DEL PASO BLVD,Food Service,ABC License Data,INDEPENDENT
BILLS MARKET,RIO LINDA,Sacramento,,2349 I ST,Food Service,ABC License Data,INDEPENDENT
BINGS MARKET,SACRAMENTO,Sacramento,,4775 RIO LINDA BLVD,Food Service,ABC License Data,INDEPENDENT
BJ'S RESTAURANT & BREWHOUSE,ELK GROVE,Sacramento,,9237 LAGUNA SPRINGS DR,Restaurant,ABC License Data,INDEPENDENT
BJ'S RESTAURANT & BREWHOUSE,FOLSOM,Sacramento,,2730 E BIDWELL ST,Restaurant,ABC License Data,INDEPENDENT
BJ'S RESTAURANT & BREWHOUSE,SACRAMENTO,Sacramento,,3531 N FREEWAY BLVD,Restaurant,ABC License Data,INDEPENDENT
BJS RESTAURANT & BREWHOUSE,SACRAMENTO,Sacramento,,1689 ARDEN WAY,Restaurant,ABC License Data,INDEPENDENT
