Business Name,City,County,Phone,Address,Business Type,Source
MOONE TSAI WINES,ANGWIN,Napa,,1425 LAS POSADAS RD,Food Service,ABC License Data
OSHAUGHNESSY ESTATE WINERY,ANGWIN,Napa,,1150 FRIESEN DR,Food Service,ABC License Data
OUTPOST WINES,ANGWIN,Napa,,2075 SUMMIT LAKE DR,Food Service,ABC License Data
PARAVEL WINES,ANGWIN,Napa,,994 WHITE COTTAGE RD N,Food Service,ABC License Data
PEACE WATER WINERY,ANGWIN,Napa,,2000 SUMMIT LAKE DR,Food Service,ABC License Data
RED THREAD WINE COMAPANY,ANGWIN,Napa,,2000 SUMMIT LAKE DR,Food Service,ABC License Data
ROBERT CRAIG WINERY,ANGWIN,Napa,,2475 SUMMIT LAKE DR,Food Service,ABC License Data
SELAH WINES,ANGWIN,Napa,,2075 SUMMIT LAKE DR,Food Service,ABC License Data
SOUNDS  SOUNDS WINE,ANGWIN,Napa,,1181 LAS POSADAS RD,Food Service,ABC License Data
STELLAREESE WINES,ANGWIN,Napa,,480 BAY ST,Food Service,ABC License Data
SUMMIT LAKE VINEYARDS & WINERY,ANGWIN,Napa,,2000 SUMMIT LAKE DR,Food Service,ABC License Data
THREE FURIES WINES,ANGWIN,Napa,,716 LIPARITA AVE,Food Service,ABC License Data
TRUJILLO WINES,ANGWIN,Napa,,1250 LAS POSADOS RD,Food Service,ABC License Data
VIDA VALIENTE WINERY,ANGWIN,Napa,,335 WEST LN,Food Service,ABC License Data
1510 LIQUOR LLC,CALISTOGA,Napa,,1510 DIAMOND MOUNTAIN RD,Food Service,ABC License Data
1520 LIQUOR LLC,CALISTOGA,Napa,,1520 DIAMOND MOUNTAIN RD,Food Service,ABC License Data
AUBERT WINES,CALISTOGA,Napa,,333 SILVERADO TRL,Food Service,ABC License Data
AUGUST BRIGGS WINERY,CALISTOGA,Napa,,1307 LINCOLN AVE,Food Service,ABC License Data
BARLOW VINEYARDS,CALISTOGA,Napa,,4411 SILVERADO TRL,Bar,ABC License Data
BATISTA WINE IMPORTS LLC,CALISTOGA,Napa,,1471 1ST ST,Food Service,ABC License Data
BENNETT LANE WINERY,CALISTOGA,Napa,,3340 STATE HIGHWAY 128,Food Service,ABC License Data
BETA-WINES,CALISTOGA,Napa,,1999 DIAMOND MOUNTAIN RD,Food Service,ABC License Data
BOATIQUE WINERY  LLC,CALISTOGA,Napa,,965 SILVERADO TRL,Food Service,ABC License Data
BURE FAMILY WINES,CALISTOGA,Napa,,1171 TUBBS LN,Food Service,ABC License Data
BUSTERS SOUTHERN BARBECUE,CALISTOGA,Napa,,1207 FOOTHILL BLVD,Bar,ABC License Data
C BECK WINERY/TIN MAN WINES,CALISTOGA,Napa,,2424 JANIS WY,Food Service,ABC License Data
CALISTOGA INN RESTAURANT & BREWERY,CALISTOGA,Napa,,1250 LINCOLN AVE,Restaurant,ABC License Data
CALISTOGA LIQUOR,CALISTOGA,Napa,,1102 TUBBS LN,Food Service,ABC License Data
CALISTOGA ORTHODOX WINES INC,CALISTOGA,Napa,,1507 WASHINGTON ST,Food Service,ABC License Data
CALISTOGA THAI KITCHEN,CALISTOGA,Napa,,1359 LINCOLN AVE,Asian Restaurant,ABC License Data
CALISTOGA WINE WAY INN,CALISTOGA,Napa,,1019 FOOTHILL BLVD,Food Service,ABC License Data
CASA DOMINGUEZ WINES,CALISTOGA,Napa,,3070 OLD LAWLEY TOLL RD,Food Service,ABC License Data
CLOS PEGASE WINERY,CALISTOGA,Napa,,1060 DUNAWEAL LN,Food Service,ABC License Data
CRESTA VELIA WINES,CALISTOGA,Napa,,1413 EARL ST,Food Service,ABC License Data
DEUTSCH FAMILY WINE & SPIRITS,CALISTOGA,Napa,,1077 DUNAWEAL LN,Food Service,ABC License Data
DIAMOND MOUNTAIN WINERY,CALISTOGA,Napa,,2121 DIAMOND MOUNTAIN RD,Food Service,ABC License Data
DOI DA WINES,CALISTOGA,Napa,,1251 TUBBS LN,Food Service,ABC License Data
ELUSA WINERY,CALISTOGA,Napa,,400 SILVERADO TRL,Food Service,ABC License Data
ENCROACHMENT WINES LLC,CALISTOGA,Napa,,4708 SILVERADO TRAIL,Food Service,ABC License Data
ENVY WINES,CALISTOGA,Napa,,1170 TUBBS LN,Food Service,ABC License Data
FAST GAS & MINI MART 2,CALISTOGA,Napa,,1108 LINCOLN AVE,Food Service,ABC License Data
FIVE SENSES NAPA VALLEY - MODERN JAPANESE,CALISTOGA,Napa,,1227 LINCOLN AVE,Food Service,ABC License Data
FORTUNATE SON WINES,CALISTOGA,Napa,,3718 ST HELENA HWY N,Food Service,ABC License Data
FTM WINE COMPANY LLC,CALISTOGA,Napa,,4300 SILVERADO TRL,Food Service,ABC License Data
FULTON FAMILY WINERY,CALISTOGA,Napa,,263 PETRIFIED FOREST RD,Food Service,ABC License Data
GARNET CREEK WINERY,CALISTOGA,Napa,,2280 GREENWOOD AVE,Food Service,ABC License Data
GIRARD WINERY,CALISTOGA,Napa,,1077 DUNAWEAL LN,Food Service,ABC License Data
GLOBAL WINE,CALISTOGA,Napa,,3111 LAKE COUNTY HWY,Food Service,ABC License Data
GLORIOUS REVOLUTION WINE,CALISTOGA,Napa,,4199 HEITZ WAY,Food Service,ABC License Data
GRIEVE FAMILY WINES,CALISTOGA,Napa,,865 SILVERADO TRL,Food Service,ABC License Data
GROW WINES,CALISTOGA,Napa,,1599 LAKE ST,Food Service,ABC License Data
HELENA VIEW JOHNSTON VINEYARDS WINERY,CALISTOGA,Napa,,3500 STATE HIGHWAY 128,Food Service,ABC License Data
HINDSIGHT WINES  HINDSIGHT VINEYARDS,CALISTOGA,Napa,,2383 MORA AVE,Food Service,ABC License Data
HINDSIGHTS WINES,CALISTOGA,Napa,,2383 MORA AVE,Food Service,ABC License Data
HOBEL WINES,CALISTOGA,Napa,,1251 TUBBS LN,Food Service,ABC License Data
HONOR WINERY,CALISTOGA,Napa,,4550 SILVERADO TRL,Food Service,ABC License Data
HOURGLASS WINE COMPANY,CALISTOGA,Napa,,701 LOMMEL RD,Food Service,ABC License Data
HYDRO GRILL,CALISTOGA,Napa,,1403 LINCOLN AVE,Food Service,ABC License Data
INIZI WINES,CALISTOGA,Napa,,1703 MAGGIE AVE,Food Service,ABC License Data
JOSEPH CELLARS WINERY,CALISTOGA,Napa,,4455 SAINT HELENA HWY,Food Service,ABC License Data
K.R. III NAPA WINES LLC,CALISTOGA,Napa,,3887 SILVERADO TRL N,Food Service,ABC License Data
KAISER FAMILY WINERY  INC,CALISTOGA,Napa,,2280 GREENWOOD AVE,Food Service,ABC License Data
KALM CELLARS @ CALISTOGA FARMERS MARKET,CALISTOGA,Napa,,1311 WASHINGTON ST,Food Service,ABC License Data
KENEFICK RANCH WINERY,CALISTOGA,Napa,,2200 PICKETT RD,Food Service,ABC License Data
KENEFICK RANCHES WINERY,CALISTOGA,Napa,,4550 SILVERADO TRL,Food Service,ABC License Data
KEYES WINE  LLC,CALISTOGA,Napa,,1170 TUBBS LN,Food Service,ABC License Data
KNIGHTS BRIDGE WINERY,CALISTOGA,Napa,,17134 SPENCER LN,Food Service,ABC License Data
KNIGHTS BRIDGE WINERY  LLC,CALISTOGA,Napa,,17134 SPENCER LN,Food Service,ABC License Data
KOCHANA WINES,CALISTOGA,Napa,,8289 FRANZ VALLEY SCHOOL RD,Food Service,ABC License Data
LA CORONA MARKET,CALISTOGA,Napa,,1856 LINCOLN AVE,Food Service,ABC License Data
LA PRIMA PIZZA,CALISTOGA,Napa,,1923 LAKE ST,Food Service,ABC License Data
LADERA WINERY,CALISTOGA,Napa,,3942 SILVERADO TRL N,Food Service,ABC License Data
LAURA MICHAEL WINES,CALISTOGA,Napa,,2250 LAKE COUNTY HWY,Food Service,ABC License Data
LAWER FAMILY WINERY INC,CALISTOGA,Napa,,8910 FRANZ VALLEY SCHOOL RD,Food Service,ABC License Data
LAWER FAMILY WINES @ CALISTOGA FARMERS MARKET,CALISTOGA,Napa,,1235 WASHINGTON ST,Food Service,ABC License Data
LOLA WINES,CALISTOGA,Napa,,916 FOOTHILL BLVD,Food Service,ABC License Data
MACAULEY WINE CORPORATION,CALISTOGA,Napa,,4708 SILVERADO TRAIL,Food Service,ABC License Data
MANDET WINES,CALISTOGA,Napa,,1251 TUBBS LN,Food Service,ABC License Data
MARIA CONCETTO WINERY  INC.,CALISTOGA,Napa,,1367 LINCOLN AVE,Food Service,ABC License Data
MARNET WINES,CALISTOGA,Napa,,1572 CENTENNIAL CIR,Food Service,ABC License Data
MC WINES LLC,CALISTOGA,Napa,,1170 TUBBS LN,Food Service,ABC License Data
MONTESQUIEU WINERY,CALISTOGA,Napa,,4550 SILVERADO TRL,Food Service,ABC License Data
NEOTEMPO WINES,CALISTOGA,Napa,,701 LOMMEL RD,Food Service,ABC License Data
NEXT DOOR WINE,CALISTOGA,Napa,,3111 LAKE COUNTY HWY,Food Service,ABC License Data
NIMROD WINES  LLC,CALISTOGA,Napa,,1471 1ST ST,Food Service,ABC License Data
NOAH RIVER WINES LLC,CALISTOGA,Napa,,2450 FOOTHILL BLVD,Food Service,ABC License Data
OFF ROUTE WINE COMPANY LLC,CALISTOGA,Napa,,1611 HARLEY ST,Food Service,ABC License Data
OTRA VEZ WINERY,CALISTOGA,Napa,,2280 GREENWOOD AVE,Food Service,ABC License Data
PACIFICO RESTAURANTE MEXICANO,CALISTOGA,Napa,,1237 LINCOLN AVE,Mexican Restaurant,ABC License Data
PALISADES WINE COMPANY,CALISTOGA,Napa,,3130 OLD LAWLEY TOLL RD,Food Service,ABC License Data
PAOLETTI ESTATES WINERY,CALISTOGA,Napa,,4501 SILVERADO TRL,Food Service,ABC License Data
PARADY FAMILY WINES,CALISTOGA,Napa,,1124 LINCOLN AVE,Food Service,ABC License Data
PETER MICHAEL WINERY,CALISTOGA,Napa,,12400 IDA CLAYTON RD,Food Service,ABC License Data
PHIFER PAVITT WINES,CALISTOGA,Napa,,4660 SILVERADO TRL,Food Service,ABC License Data
PICKETT ACRE WINES,CALISTOGA,Napa,,2395 PICKETT RD,Food Service,ABC License Data
PICKETT ROAD WINE COMPANY,CALISTOGA,Napa,,2339 PICKETT RD,Food Service,ABC License Data
POGGI WINES  LLC,CALISTOGA,Napa,,30 ROSEDALE RD,Food Service,ABC License Data
PUERTO VALLARTA MARKET,CALISTOGA,Napa,,1009 FOOTHILL BLVD,Food Service,ABC License Data
PWR WINES,CALISTOGA,Napa,,1311 PINE ST,Food Service,ABC License Data
RARECAT WINES,CALISTOGA,Napa,,965 SILVERADO TRL,Food Service,ABC License Data
RESORT AT INDIAN SPRINGS LLC,CALISTOGA,Napa,,1712 LINCOLN AVE,Food Service,ABC License Data
REVERIE WINERY,CALISTOGA,Napa,,1520 DIAMOND MOUNTAIN RD,Food Service,ABC License Data
RIOS WINE COMPANY LLC,CALISTOGA,Napa,,3070 OLD LAWLEY TOLL RD,Food Service,ABC License Data
RIVERS-MARIE WINES,CALISTOGA,Napa,,900 FOOTHILL BLVD,Food Service,ABC License Data
RJS BOUTIQUE WINES LLC,CALISTOGA,Napa,,3190 HIGHWAY 128,Food Service,ABC License Data
